Interior Light(s),Rinse And Hold Cycle,Delay Start,Cutout Height (in.),Nylon Rack Material,Adjustable Tines,Number Of Cycles,Removeable Silverware Basket,Hard Food Disposer,Sensor Wash,Cutout Width (in.),Decibel Level,Cutout Depth (in.),Estimated Yearly Operating Cost,Number Of Wash Cycles,Number Of Units,Interior Capacity,Adjustable Racks,Sound Reduction Package,Sound-Reduction System,Stemware Holder,NSF Listed,Control-Lock Option,Integrated Hose,ETL Listed,Water Soil Sensor,Silverware Basket Location,Cycles (Number of),Wattage,Door Style,Tub Finish,Automatic Detergent Dispenser,Spray/Wash Levels (Number of),Steam Pre-Wash,Estimated Yearly Electricity Use (kWh),Steam Cleaning,Power Cord Included,Voltage,Cup Shelf,High-Temperature Wash,Control Type,Quick-Rinse Cycle,Number Of Racks,UL Listed,ANSI Certified,Operating Sound Level,ADA Compliant,ENERGY STAR Certified,NSF-Certified Sanitization Cycle,Convertible,Color Category,China/Crystal Cycle,NSF Certified Sanitization Cycle,Self-Cleaning Filter,End-Of-Cycle Signal,Depth With Door Open,Casters,CEE Qualified,Interior Finish,Hidden Control Panel,Star K Certified,Estimated Annual Operating Cost,Filtered Water,Capacity,Estimated Annual Electricity Use,Removable Racks,Water Consumption Per Cycle,Heated Drying,Tall Tub Design,Additional Accessories Included,Pots And Pans Cycle,Cut-Out Width,Normal Wash Cycle,Child Lock,Cut-Out Height,pricematch,Rack Material,Automatic Temperature Control,CSA Listed,Number Of Wash Arms,Motion Activated Controls,Cycle Status Lights,Depth Less Door,Integrated Water-Softener,Smart Phone Compatible,Delay-Start Option,Cut-Out Depth,Extra-Rinse Cycle,Amperage,Number of Racks,Dishwasher Type,Pots-and-Pans Cycle
N/A,Yes,Yes,N/A,N/A,Yes,5,N/A,No,Yes,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,Other,N/A,N/A,Integrated,Stainless steel,N/A,N/A,N/A,N/A,No,N/A,120 volts,Yes,Yes,LED display with touchscreen controls,Yes,2,N/A,N/A,41 decibels,N/A,Yes,No,N/A,Silver,Yes,N/A,N/A,No,49.5 inches,N/A,N/A,Stainless steel,Yes,N/A,31 United States dollars,Yes,N/A,260 kilowatt hours,Yes,N/A,Yes,No,N/A,Yes,24 inches,N/A,No,34 inches,yes,Nylon,N/A,N/A,5,N/A,Yes,24.5 inches,N/A,N/A,N/A,24 inches,No,15 amperes,N/A,Built-in dishwashers,N/A
N/A,Yes,Yes,N/A,N/A,Yes,4,N/A,No,Yes,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Other,N/A,N/A,Integrated,Plastic,N/A,N/A,N/A,N/A,No,N/A,120 volts,Yes,Yes,Electronic,Yes,N/A,Yes,N/A,54 decibels,N/A,Yes,Yes,N/A,White,No,N/A,N/A,No,49.5 inches,N/A,Yes,Stainless steel,No,Yes,30 United States dollars,N/A,N/A,286 kilowatt hours,Yes,8.5 gallons,Yes,Yes,N/A,No,24 inches,N/A,No,34.25 inches,yes,Nylon,Yes,N/A,N/A,N/A,Yes,25 inches,N/A,N/A,N/A,24 inches,No,10 amperes,N/A,Built-in dishwashers,N/A
N/A,N/A,Yes,N/A,N/A,No,3,N/A,No,N/A,N/A,N/A,N/A,N/A,5,1,N/A,Stationary,N/A,Yes,N/A,No,Yes,N/A,N/A,N/A,Other,N/A,N/A,Integrated,Polymer,N/A,N/A,N/A,N/A,No,N/A,120 volts,N/A,Yes,Electromechanical,No,N/A,Yes,N/A,60 decibels,N/A,No,No,N/A,Black,No,N/A,Yes,No,49.25 inches,N/A,No,Polymer,No,No,N/A,N/A,N/A,N/A,No,6 gallons,Yes,Yes,N/A,No,24 inches,N/A,No,34.25 inches,yes,PVC,Yes,N/A,N/A,N/A,Yes,25 inches,N/A,N/A,N/A,24 inches,No,10 amperes,N/A,Built-in dishwashers,N/A
N/A,Yes,Yes,N/A,N/A,Yes,6,N/A,No,Yes,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,N/A,N/A,No,N/A,N/A,N/A,Other,N/A,N/A,Integrated,Stainless steel,N/A,N/A,N/A,N/A,No,N/A,120 volts,Yes,Yes,Electronic,Yes,2,N/A,N/A,45 decibels,N/A,No,No,N/A,Silver,Yes,N/A,N/A,No,49.5 inches,N/A,N/A,Stainless steel,Yes,N/A,31 United States dollars,Yes,N/A,260 kilowatt hours,N/A,N/A,Yes,No,N/A,Yes,24 inches,N/A,No,34 inches,yes,Nylon,N/A,N/A,2,N/A,Yes,24.5 inches,N/A,N/A,N/A,24 inches,No,15 amperes,N/A,Built-in dishwashers,N/A
N/A,N/A,N/A,34-1/2,Yes,No,N/A,Yes,Yes,N/A,24,54dBA,24,$29 with an electric water heater; $24 with a natural gas water heater,N/A,N/A,Up to 16 place settings,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,Polymer,N/A,4,N/A,275,Yes,N/A,N/A,N/A,Yes,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Bisque/Biscuit,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,Yes,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,N/A,Full-size built-in,No
N/A,Yes,Yes,N/A,N/A,Yes,4,N/A,Yes,Yes,N/A,N/A,N/A,N/A,3,1,N/A,Adjustable,N/A,No,Yes,Yes,No,N/A,N/A,N/A,Other,N/A,800 watts,Integrated,Stainless steel,N/A,N/A,Yes,N/A,Yes,No,120 volts,Yes,N/A,Electronic,No,2,N/A,N/A,46 decibels,N/A,No,Yes,N/A,Black,No,N/A,Yes,No,51.5 inches,N/A,Yes,Stainless steel,Yes,No,N/A,Yes,N/A,N/A,Yes,N/A,Yes,Yes,Installation brackets,No,24 inches,N/A,No,33.5 inches,yes,Nylon,Yes,N/A,3,N/A,Yes,24 inches,N/A,N/A,N/A,24 inches,No,7.1 amperes,N/A,Built-in dishwashers,N/A
N/A,Yes,No,N/A,N/A,Yes,4,N/A,Yes,Yes,N/A,N/A,N/A,N/A,3,1,N/A,Adjustable,N/A,Yes,Yes,N/A,N/A,N/A,Yes,Yes,Other,N/A,N/A,N/A,Stainless steel,N/A,N/A,N/A,N/A,No,No,120 volts,Yes,Yes,Electronic,Yes,2,Yes,N/A,50 decibels,N/A,Yes,Yes,N/A,Black,No,N/A,Yes,N/A,56.38 inches,N/A,Yes,Stainless steel,No,Yes,24 United States dollars,N/A,N/A,279 kilowatt hours,Yes,N/A,No,Yes,N/A,No,24 inches,N/A,Yes,34.25 inches,yes,Nylon,N/A,N/A,3,N/A,Yes,25 inches,N/A,N/A,N/A,24 inches,No,15 amperes,N/A,Built-in dishwashers,N/A
N/A,Yes,Yes,N/A,N/A,No,4,N/A,Yes,Yes,N/A,N/A,N/A,N/A,3,1,N/A,Removable,N/A,No,Yes,N/A,No,N/A,N/A,N/A,Other,N/A,800 watts,Integrated,Stainless steel,Yes,N/A,Yes,N/A,Yes,No,120 volts,Yes,Yes,Electromechanical,No,2,N/A,N/A,N/A,N/A,No,Yes,N/A,Silver,No,N/A,Yes,No,51.5 inches,N/A,N/A,Plastic,No,No,29 United States dollars,Yes,N/A,275 kilowatt hours,Yes,N/A,Yes,Yes,Installation brackets,No,24 inches,N/A,Yes,33.5 inches,yes,Nylon,Yes,N/A,3,N/A,Yes,24 inches,N/A,N/A,N/A,24 inches,N/A,7.1 amperes,N/A,Built-in dishwashers,N/A
N/A,Yes,Yes,N/A,N/A,Yes,7,N/A,Yes,Yes,N/A,N/A,N/A,N/A,3,1,N/A,Adjustable,N/A,No,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,1000 watts,Integrated,Stainless steel,N/A,N/A,Yes,N/A,No,No,120 volts,Yes,Yes,Electromechanical,Yes,2,N/A,N/A,42 decibels,N/A,No,Yes,N/A,Silver,No,N/A,N/A,No,50 inches,N/A,Yes,Stainless steel,Yes,No,29 United States dollars,Yes,N/A,275 kilowatt hours,Yes,N/A,Yes,Yes,Installation brackets and strips,No,24 inches,N/A,Yes,33.5 inches,yes,Nylon,Yes,N/A,N/A,N/A,Yes,24.75 inches,N/A,N/A,N/A,24 inches,No,9.9 amperes,N/A,Built-in dishwashers,N/A
N/A,Yes,Yes,N/A,N/A,Yes,6,N/A,No,Yes,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,N/A,Yes,No,N/A,N/A,N/A,Other,N/A,N/A,Integrated,Stainless steel,N/A,N/A,No,N/A,No,N/A,120 volts,Yes,Yes,Electronic,Yes,2,Yes,N/A,42 decibels,N/A,Yes,No,N/A,Black,Yes,N/A,N/A,No,49.5 inches,N/A,Yes,Stainless steel,Yes,N/A,31 United States dollars,Yes,N/A,260 kilowatt hours,Yes,N/A,Yes,No,N/A,Yes,24 inches,N/A,No,34 inches,yes,Nylon,Yes,N/A,2,N/A,Yes,24.5 inches,N/A,N/A,N/A,24 inches,No,15 amperes,N/A,Built-in dishwashers,N/A
N/A,Yes,Yes,N/A,N/A,No,6,N/A,No,N/A,N/A,N/A,N/A,N/A,4,1,N/A,Stationary,N/A,Yes,Yes,No,Yes,N/A,N/A,N/A,Other,N/A,N/A,Integrated,Stainless steel,N/A,N/A,N/A,N/A,No,N/A,120 volts,Yes,No,Electronic,No,2,Yes,N/A,55 decibels,Yes,Yes,No,N/A,Silver,Yes,N/A,N/A,No,46 inches,N/A,Yes,Stainless steel,No,Yes,30 United States dollars,N/A,N/A,280 kilowatt hours,Yes,4 gallons,Yes,No,N/A,No,17.63 inches,N/A,No,32.5 inches,yes,Nylon,Yes,N/A,N/A,No,No,25 inches,N/A,N/A,N/A,24 inches,No,8.5 amperes,N/A,Built-in dishwashers,N/A
N/A,Yes,Yes,N/A,N/A,Yes,6,N/A,No,N/A,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,Yes,Yes,No,N/A,N/A,N/A,Other,N/A,N/A,Integrated,Stainless steel,N/A,N/A,Yes,N/A,No,N/A,120 volts,Yes,Yes,LED display with touchscreen controls,No,2,Yes,N/A,44 decibels,N/A,Yes,Yes,N/A,White,Yes,N/A,Yes,No,50.5 inches,N/A,Yes,N/A,Yes,N/A,31 United States dollars,Yes,N/A,258 kilowatt hours,Yes,N/A,No,No,N/A,Yes,24 inches,N/A,Yes,24 inches,yes,Nylon,Yes,N/A,N/A,N/A,Yes,36.75 inches,N/A,N/A,N/A,33.5 inches,Yes,15 amperes,N/A,Built-in dishwashers,N/A
N/A,N/A,Yes,N/A,N/A,No,3,N/A,No,N/A,N/A,N/A,N/A,N/A,5,1,N/A,Stationary,N/A,Yes,N/A,No,Yes,N/A,N/A,N/A,Other,N/A,N/A,Integrated,Polymer,N/A,N/A,N/A,N/A,No,N/A,120 volts,N/A,Yes,Electronic,No,N/A,Yes,N/A,60 decibels,N/A,No,No,N/A,White,No,N/A,Yes,No,49.25 inches,N/A,No,Plastic,No,No,N/A,N/A,N/A,N/A,No,6 gallons,Yes,Yes,N/A,No,24 inches,N/A,No,34.25 inches,yes,PVC,Yes,N/A,N/A,N/A,Yes,25 inches,N/A,N/A,N/A,24 inches,No,10 amperes,N/A,Built-in dishwashers,N/A
N/A,N/A,Yes,N/A,N/A,No,4,N/A,No,Yes,N/A,N/A,N/A,N/A,5,1,N/A,Stationary,N/A,Yes,Yes,Yes,Yes,N/A,N/A,N/A,Other,N/A,N/A,Integrated,Polymer,N/A,N/A,N/A,N/A,No,N/A,120 volts,Yes,Yes,Electronic,No,N/A,N/A,N/A,55 decibels,No,No,Yes,N/A,White,No,N/A,Yes,No,49.25 inches,N/A,No,Polymer,No,Yes,N/A,N/A,N/A,N/A,Yes,8.5 gallons,Yes,Yes,N/A,Yes,24 inches,N/A,No,34.25 inches,yes,Nylon,N/A,N/A,3,N/A,Yes,25 inches,N/A,N/A,N/A,24 inches,Yes,10 amperes,N/A,Built-in dishwashers,N/A
N/A,Yes,Yes,N/A,N/A,Yes,6,N/A,No,Yes,N/A,N/A,N/A,N/A,6,1,N/A,Adjustable,N/A,Yes,Yes,N/A,Yes,N/A,N/A,N/A,Other,N/A,N/A,Integrated,Stainless steel,N/A,N/A,N/A,N/A,No,N/A,N/A,Yes,Yes,Electronic,Yes,3,Yes,N/A,39 decibels,N/A,No,No,N/A,Silver,Yes,N/A,N/A,No,49.5 inches,N/A,Yes,Stainless steel,Yes,N/A,N/A,Yes,N/A,N/A,Yes,N/A,Yes,No,N/A,Yes,24 inches,N/A,No,34 inches,yes,Nylon,N/A,N/A,4,N/A,Yes,24.75 inches,N/A,N/A,N/A,24 inches,No,15 amperes,N/A,Built-in dishwashers,N/A
N/A,N/A,Yes,N/A,N/A,Yes,4,N/A,Yes,Yes,N/A,N/A,N/A,N/A,3,1,N/A,Adjustable,N/A,No,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,800 watts,Integrated,Stainless steel,N/A,N/A,Yes,N/A,Yes,No,120 volts,Yes,Yes,Electronic,No,2,N/A,N/A,46 decibels,N/A,No,Yes,N/A,Silver,No,N/A,N/A,No,51.5 inches,N/A,Yes,Stainless steel,Yes,No,N/A,Yes,N/A,N/A,Yes,N/A,Yes,Yes,N/A,No,24 inches,N/A,Yes,33.5 inches,yes,Nylon,Yes,N/A,3,N/A,Yes,24 inches,N/A,N/A,N/A,24 inches,No,7.1 amperes,N/A,Built-in dishwashers,N/A
No,No,Yes,N/A,N/A,Yes,5,N/A,No,Yes,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,No,No,Yes,Yes,N/A,No,No,N/A,N/A,N/A,Integrated,Plastic,No,N/A,No,N/A,No,No,N/A,No,Yes,Electronic,No,2,No,No,51 decibels,No,Yes,Yes,N/A,White,Yes,N/A,No,No,N/A,N/A,No,N/A,Yes,No,31 United States dollars,No,N/A,260 kilowatt hours,No,N/A,Yes,No,Owner's manual,Yes,24 inches,N/A,No,34 inches,yes,Nylon,No,No,N/A,No,No,N/A,No,No,N/A,24 inches,No,N/A,N/A,Built-in dishwashers,N/A
N/A,Yes,Yes,N/A,N/A,Yes,7,N/A,No,Yes,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Other,N/A,N/A,Integrated,Plastic,N/A,N/A,N/A,N/A,No,N/A,120 volts,Yes,Yes,Electronic,Yes,N/A,Yes,N/A,53 decibels,N/A,Yes,Yes,N/A,White,No,N/A,N/A,No,N/A,N/A,N/A,Plastic,Yes,Yes,30 United States dollars,N/A,N/A,283 kilowatt hours,Yes,8.5 gallons,Yes,Yes,N/A,No,24 inches,N/A,Yes,34.25 inches,yes,Nylon,Yes,N/A,N/A,No,Yes,27 inches,N/A,N/A,N/A,24 inches,No,10 amperes,N/A,Built-in dishwashers,N/A
Yes,Yes,No,N/A,N/A,Yes,4,N/A,Yes,Yes,N/A,N/A,N/A,N/A,3,1,N/A,Adjustable,N/A,Yes,Yes,Yes,N/A,N/A,Yes,N/A,Other,N/A,N/A,N/A,Stainless steel,N/A,N/A,N/A,N/A,No,No,120 volts,Yes,Yes,Electronic,Yes,2,Yes,N/A,50 decibels,N/A,Yes,Yes,N/A,Silver,No,N/A,N/A,Yes,56.5 inches,N/A,Yes,Stainless steel,No,Yes,30 United States dollars,Yes,N/A,279 kilowatt hours,Yes,N/A,No,Yes,N/A,No,24 inches,N/A,Yes,34.25 inches,yes,Nylon,N/A,N/A,3,N/A,Yes,25 inches,N/A,N/A,N/A,24 inches,No,15 amperes,N/A,Built-in dishwashers,N/A
Yes,Yes,No,N/A,N/A,Yes,6,N/A,No,N/A,N/A,N/A,N/A,N/A,3,1,N/A,Adjustable,N/A,No,N/A,No,No,N/A,N/A,N/A,Other,N/A,N/A,Integrated,Stainless steel,N/A,N/A,N/A,N/A,No,N/A,120 volts,N/A,Yes,Electromechanical,Yes,N/A,N/A,N/A,55 decibels,N/A,Yes,No,N/A,White,Yes,N/A,N/A,No,54.98 inches,N/A,No,Stainless steel,No,Yes,30 United States dollars,N/A,N/A,285 kilowatt hours,Yes,N/A,No,No,N/A,Yes,17.5 inches,N/A,No,32.5 inches,yes,Nylon,N/A,Yes,2,N/A,Yes,22.5 inches,Yes,N/A,N/A,22.5 inches,No,9.2 amperes,N/A,Built-in dishwashers,N/A
No,Yes,Yes,N/A,N/A,No,5,N/A,No,No,N/A,N/A,N/A,N/A,5,1,N/A,Stationary,N/A,No,No,No,No,N/A,No,No,Bottom drawer,N/A,N/A,Integrated,Stainless steel,Yes,N/A,No,N/A,No,Yes,120 volts,Yes,Yes,Digital,Yes,2,Yes,No,55 decibels,Yes,Yes,No,N/A,White,Yes,N/A,Yes,Yes,N/A,N/A,No,Stainless steel,No,No,32 United States dollars,No,N/A,295 kilowatt hours,No,4.2 gallons,Yes,No,N/A,Yes,23.5 inches,N/A,Yes,32.5 inches,yes,Stainless steel,No,No,2,No,Yes,N/A,No,No,N/A,22.1 inches,Yes,16 amperes,N/A,Built-in dishwashers,N/A
No,N/A,Yes,N/A,N/A,Yes,6,N/A,No,N/A,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,1400 watts,Integrated,Stainless steel,N/A,N/A,N/A,N/A,No,N/A,120 volts,N/A,Yes,Electronic,Yes,N/A,Yes,N/A,50 decibels,No,Yes,Yes,N/A,White,Yes,N/A,N/A,No,47.25 inches,N/A,Yes,Stainless steel,Yes,Yes,30 United States dollars,N/A,N/A,279 kilowatt hours,No,N/A,No,Yes,N/A,Yes,24 inches,N/A,No,33.94 inches,yes,Nylon,N/A,Yes,3,N/A,No,N/A,No,N/A,N/A,24 inches,No,N/A,N/A,Built-in dishwashers,N/A
No,N/A,Yes,N/A,N/A,Yes,6,N/A,No,N/A,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,1400 watts,Integrated,Stainless steel,N/A,N/A,N/A,N/A,No,N/A,120 volts,N/A,Yes,Electronic,Yes,N/A,Yes,N/A,50 decibels,No,Yes,Yes,N/A,Black,Yes,N/A,N/A,No,47.25 inches,N/A,Yes,Stainless steel,No,Yes,30 United States dollars,N/A,N/A,279 kilowatt hours,No,3 gallons,No,Yes,N/A,Yes,24 inches,N/A,Yes,33.94 inches,yes,Nylon,N/A,Yes,2,N/A,No,N/A,No,N/A,N/A,24 inches,No,N/A,N/A,Built-in dishwashers,N/A
No,Yes,Yes,N/A,N/A,Yes,4,N/A,No,N/A,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,1300 watts,Integrated,Stainless steel,N/A,N/A,No,N/A,No,N/A,120 volts,N/A,Yes,Electronic,No,N/A,Yes,N/A,46 decibels,No,Yes,Yes,N/A,Brown,No,N/A,N/A,No,47.25 inches,N/A,Yes,Stainless steel,Yes,Yes,27 United States dollars,Yes,N/A,259 kilowatt hours,N/A,N/A,Yes,Yes,N/A,Yes,23.63 inches,N/A,No,33.88 inches,yes,Nylon,N/A,N/A,3,N/A,No,23.06 inches,No,N/A,N/A,24 inches,No,N/A,N/A,Built-in dishwashers,N/A
Yes,Yes,Yes,N/A,N/A,Yes,7,N/A,No,N/A,N/A,N/A,N/A,N/A,3,1,N/A,Adjustable,N/A,No,N/A,No,No,N/A,N/A,N/A,Other,N/A,N/A,Integrated,Stainless steel,N/A,N/A,N/A,N/A,No,N/A,120 volts,N/A,Yes,Electromechanical,Yes,N/A,N/A,N/A,55 decibels,N/A,Yes,No,N/A,Silver,Yes,N/A,N/A,No,54.48 inches,N/A,No,Stainless steel,No,Yes,30 United States dollars,N/A,N/A,285 kilowatt hours,Yes,N/A,No,No,N/A,Yes,17.5 inches,N/A,No,32.5 inches,yes,Nylon,N/A,Yes,2,N/A,Yes,22 inches,Yes,N/A,N/A,22.5 inches,No,9.2 amperes,N/A,Built-in dishwashers,N/A
N/A,N/A,No,N/A,N/A,No,5,N/A,Yes,No,N/A,N/A,N/A,N/A,5,1,N/A,Stationary,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,Polymer,N/A,N/A,N/A,N/A,No,Yes,N/A,N/A,Yes,Analog,Yes,2,N/A,N/A,64 decibels,N/A,Yes,No,Yes,Black,No,N/A,N/A,N/A,N/A,N/A,N/A,Plastic,No,No,31 United States dollars,N/A,N/A,295 kilowatt hours,Yes,N/A,Yes,No,N/A,Yes,24.88 inches,N/A,N/A,36.38 inches,yes,Epoxy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27 inches,No,N/A,N/A,Portable dishwashers,N/A
N/A,N/A,Yes,N/A,N/A,Yes,5,N/A,No,Yes,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Integrated,Stainless steel,N/A,N/A,N/A,N/A,No,N/A,120 volts,Yes,Yes,Electronic,No,2,Yes,N/A,49 decibels,N/A,Yes,No,N/A,Black,No,N/A,Yes,No,49.5 inches,N/A,Yes,N/A,No,N/A,32 United States dollars,Yes,N/A,270 kilowatt hours,Yes,N/A,Yes,No,N/A,Yes,24 inches,N/A,No,34 inches,yes,Nylon,Yes,N/A,2,N/A,Yes,24.5 inches,N/A,N/A,N/A,24 inches,No,15 amperes,N/A,Built-in dishwashers,N/A
No,Yes,Yes,N/A,N/A,Yes,6,N/A,No,Yes,N/A,N/A,N/A,N/A,6,1,N/A,Adjustable and removable,N/A,Yes,Yes,Yes,No,N/A,N/A,Yes,Bottom drawer,N/A,1300 watts,Integrated,Stainless steel,Yes,N/A,No,N/A,No,No,120 volts,Yes,Yes,Electronic,No,3,Yes,N/A,40 decibels,No,Yes,Yes,N/A,Silver,Yes,N/A,N/A,Yes,N/A,N/A,Yes,Stainless steel,Yes,No,31 United States dollars,Yes,N/A,269 kilowatt hours,Yes,2.9 gallons,Yes,Yes,"Side mounting hardware, drain hose, kick plate",Yes,23.63 inches,N/A,No,33.88 inches,yes,Nylon,Yes,N/A,3,No,No,N/A,No,No,N/A,24 inches,No,12 amperes,N/A,Built-in dishwashers,N/A
N/A,Yes,Yes,N/A,N/A,Yes,4,N/A,No,Yes,N/A,N/A,N/A,N/A,5,1,N/A,Stationary,N/A,Yes,Yes,Yes,Yes,N/A,N/A,N/A,Other,N/A,N/A,Integrated,Polymer,N/A,N/A,N/A,N/A,No,N/A,120 volts,Yes,Yes,Electronic,Yes,N/A,Yes,N/A,55 decibels,N/A,Yes,Yes,N/A,Black,No,N/A,Yes,No,49.25 inches,N/A,No,Plastic,No,Yes,30 United States dollars,N/A,N/A,286 kilowatt hours,Yes,N/A,Yes,Yes,N/A,Yes,24 inches,N/A,No,34.25 inches,yes,Nylon,Yes,Yes,2,N/A,Yes,25 inches,N/A,N/A,N/A,24 inches,No,10 amperes,N/A,Built-in dishwashers,N/A
No,Yes,Yes,N/A,N/A,Yes,4,N/A,No,Yes,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1300 watts,N/A,Stainless steel,N/A,N/A,No,N/A,No,N/A,120 volts,N/A,Yes,Electronic,No,N/A,Yes,N/A,46 decibels,No,Yes,Yes,N/A,White,No,N/A,N/A,N/A,47.25 inches,N/A,Yes,Stainless steel,No,Yes,27 United States dollars,Yes,N/A,259 kilowatt hours,Yes,2.9 gallons,Yes,Yes,N/A,Yes,23.63 inches,N/A,Yes,33.88 inches,yes,Nylon,Yes,N/A,3,N/A,N/A,23.75 inches,No,N/A,N/A,24 inches,No,N/A,N/A,Built-in dishwashers,N/A
N/A,Yes,Yes,N/A,N/A,Yes,4,N/A,Yes,Yes,N/A,N/A,N/A,N/A,3,1,N/A,Adjustable,N/A,No,Yes,N/A,No,N/A,N/A,N/A,N/A,N/A,800 watts,Integrated,Stainless steel,Yes,N/A,Yes,N/A,Yes,No,120 volts,Yes,Yes,Electronic,No,2,N/A,N/A,46 decibels,N/A,No,Yes,N/A,White,No,N/A,Yes,No,51.5 inches,N/A,Yes,Stainless steel,Yes,No,N/A,Yes,N/A,N/A,Yes,N/A,Yes,Yes,N/A,No,24 inches,N/A,No,33.5 inches,yes,Nylon,Yes,N/A,3,N/A,Yes,24 inches,N/A,N/A,N/A,24 inches,No,7.1 amperes,N/A,Built-in dishwashers,N/A
N/A,Yes,Yes,N/A,N/A,No,5,N/A,No,N/A,N/A,N/A,N/A,N/A,5,1,N/A,Stationary,N/A,Yes,N/A,Yes,Yes,N/A,N/A,N/A,Other,N/A,N/A,N/A,Polymer,N/A,N/A,N/A,N/A,No,N/A,120 volts,N/A,Yes,Electronic,Yes,N/A,Yes,N/A,55 decibels,No,Yes,Yes,N/A,White,No,N/A,Yes,N/A,48.25 inches,N/A,No,Polymer,No,Yes,29 United States dollars,N/A,N/A,269 kilowatt hours,Yes,6 gallons,Yes,Yes,N/A,No,24 inches,N/A,N/A,34.25 inches,yes,PVC,Yes,N/A,3,N/A,N/A,25 inches,N/A,N/A,N/A,24 inches,No,10 amperes,N/A,Built-in dishwashers,N/A
N/A,Yes,Yes,N/A,N/A,Yes,6,N/A,No,Yes,N/A,N/A,N/A,N/A,6,1,N/A,Adjustable,N/A,No,Yes,N/A,Yes,N/A,N/A,N/A,Other,N/A,N/A,Integrated,Stainless steel,N/A,N/A,N/A,N/A,No,N/A,120 volts,Yes,Yes,Electronic,Yes,2,Yes,N/A,46 decibels,No,Yes,No,N/A,Silver,Yes,N/A,N/A,No,49.5 inches,N/A,Yes,Stainless steel,Yes,N/A,31 United States dollars,Yes,N/A,260 kilowatt hours,Yes,N/A,Yes,No,N/A,Yes,24 inches,N/A,No,34 inches,yes,Nylon,N/A,N/A,3,N/A,Yes,27.5 inches,N/A,N/A,N/A,24 inches,No,15 amperes,N/A,Built-in dishwashers,N/A
N/A,N/A,Yes,N/A,N/A,Yes,4,N/A,Yes,Yes,N/A,N/A,N/A,N/A,4,1,N/A,Adjustable,N/A,Yes,Yes,Yes,No,N/A,No,N/A,Other,N/A,800 watts,Integrated,Polymer,N/A,N/A,Yes,N/A,Yes,No,120 volts,Yes,Yes,Electromechanical,No,2,No,No,48 decibels,N/A,Yes,Yes,N/A,White,No,N/A,N/A,No,51.5 inches,N/A,No,Stainless steel,Yes,No,29 United States dollars,N/A,N/A,275 kilowatt hours,Yes,N/A,Yes,Yes,N/A,No,24 inches,N/A,Yes,34.5 inches,yes,Nylon,Yes,No,3,N/A,Yes,24 inches,N/A,N/A,N/A,24 inches,No,7.1 amperes,N/A,Built-in dishwashers,N/A
N/A,N/A,N/A,33-1/2,Yes,Yes,N/A,N/A,Yes,N/A,24,48dBA,24,$29 with an electric water heater; $24 with a natural gas water heater,N/A,N/A,Up to 16 place settings,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,Stainless-steel,N/A,3,N/A,275,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,Gray,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,Yes,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,N/A,Full-size built-in,N/A
